real;plane;angle;serial;error;opti
16.0;yaw;0.0;16.453771591186523;0.36205101013183594;16.091720581054688
16.0;yaw;0.0;16.43501091003418;0.3432903289794922;16.091720581054688
16.0;yaw;0.0;16.453771591186523;0.36205101013183594;16.091720581054688
16.0;yaw;0.0;16.43501091003418;0.3432903289794922;16.091720581054688
16.0;yaw;0.0;16.43501091003418;0.3432903289794922;16.091720581054688
16.0;yaw;0.0;16.472532272338867;0.3808116912841797;16.091720581054688
16.0;yaw;0.0;16.472532272338867;0.3808116912841797;16.091720581054688
16.0;yaw;0.0;16.491294860839844;0.3995857238769531;16.09170913696289
16.0;yaw;0.0;16.453771591186523;0.3620624542236328;16.09170913696289
16.0;yaw;0.0;16.39748764038086;0.30577850341796875;16.09170913696289
16.0;yaw;0.0;16.472532272338867;0.38082313537597656;16.09170913696289
16.0;yaw;0.0;16.453771591186523;0.3620624542236328;16.09170913696289
16.0;yaw;0.0;16.416248321533203;0.3245391845703125;16.09170913696289
16.0;yaw;0.0;16.453771591186523;0.3620624542236328;16.09170913696289
16.0;yaw;0.0;16.453771591186523;0.3620624542236328;16.09170913696289
16.0;yaw;0.0;16.491294860839844;0.39960479736328125;16.091690063476562
16.0;yaw;0.0;16.472532272338867;0.3808422088623047;16.091690063476562
16.0;yaw;0.0;16.510055541992188;0.418365478515625;16.091690063476562
16.0;yaw;0.0;16.472532272338867;0.3808422088623047;16.091690063476562
16.0;yaw;0.0;16.453771591186523;0.36208152770996094;16.091690063476562
16.0;yaw;90.0;16.528818130493164;0.4378242492675781;16.090993881225586
16.0;yaw;90.0;16.547578811645508;0.4565849304199219;16.090993881225586
16.0;yaw;90.0;16.547578811645508;0.4565849304199219;16.090993881225586
16.0;yaw;90.0;16.528818130493164;0.4378242492675781;16.090993881225586
16.0;yaw;90.0;16.547578811645508;0.4569416046142578;16.09063720703125
16.0;yaw;90.0;16.528818130493164;0.43818092346191406;16.09063720703125
16.0;yaw;90.0;16.585102081298828;0.4944648742675781;16.09063720703125
16.0;yaw;90.0;16.585102081298828;0.4944648742675781;16.09063720703125
16.0;yaw;90.0;16.585102081298828;0.4944648742675781;16.09063720703125
16.0;yaw;90.0;16.510055541992188;0.4194183349609375;16.09063720703125
16.0;yaw;90.0;16.547578811645508;0.4569416046142578;16.09063720703125
16.0;yaw;90.0;16.56633949279785;0.47570228576660156;16.09063720703125
16.0;yaw;90.0;16.585102081298828;0.4932823181152344;16.091819763183594
16.0;yaw;90.0;16.510055541992188;0.41823577880859375;16.091819763183594
16.0;yaw;90.0;16.547578811645508;0.45575904846191406;16.091819763183594
16.0;yaw;90.0;16.547578811645508;0.45575904846191406;16.091819763183594
16.0;yaw;90.0;16.547578811645508;0.45575904846191406;16.091819763183594
16.0;yaw;90.0;16.510055541992188;0.41823577880859375;16.091819763183594
16.0;yaw;90.0;16.547578811645508;0.45575904846191406;16.091819763183594
16.0;yaw;90.0;16.528818130493164;0.4386863708496094;16.090131759643555
16.0;yaw;90.0;16.547578811645508;0.4574470520019531;16.090131759643555
16.0;yaw;90.0;16.585102081298828;0.49497032165527344;16.090131759643555
